NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG (2025),PEMINAT (2024),JENIS PORTOFOLIO,RASIO KEKETATAN,PRESENTASE (%)
UNIVERSITAS SRIWIJAYA,11713058,TEKNIK KOMPUTER,Diploma Tiga,36,157,Tidak Ada,0.22929936305732485,22.929936305732486
UNIVERSITAS SRIWIJAYA,11713059,MANAJEMEN INFORMATIKA,Diploma Tiga,48,105,Tidak Ada,0.45714285714285713,45.714285714285715
UNIVERSITAS SRIWIJAYA,11713060,KOMPUTERISASI AKUNTANSI,Diploma Tiga,48,40,Tidak Ada,1.2,120.0
UNIVERSITAS SRIWIJAYA,11713061,KESEKRETARIATAN,Diploma Tiga,48,60,Tidak Ada,0.8,80.0
UNIVERSITAS BANGKA BELITUNG,11811001,TEKNIK MESIN,Sarjana,30,66,Tidak Ada,0.45454545454545453,45.45454545454545
UNIVERSITAS BANGKA BELITUNG,11811002,TEKNIK ELEKTRO,Sarjana,30,65,Tidak Ada,0.46153846153846156,46.15384615384615
UNIVERSITAS BANGKA BELITUNG,11811003,TEKNIK PERTAMBANGAN,Sarjana,32,170,Tidak Ada,0.18823529411764706,18.823529411764707
UNIVERSITAS BANGKA BELITUNG,11811004,TEKNIK SIPIL,Sarjana,32,134,Tidak Ada,0.23880597014925373,23.88059701492537
UNIVERSITAS BANGKA BELITUNG,11811005,AGROTEKNOLOGI,Sarjana,36,136,Tidak Ada,0.2647058823529412,26.47058823529412
UNIVERSITAS BANGKA BELITUNG,11811006,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,43,68,Tidak Ada,0.6323529411764706,63.23529411764706
UNIVERSITAS BANGKA BELITUNG,11811007,BIOLOGI,Sarjana,30,74,Tidak Ada,0.40540540540540543,40.54054054054054
UNIVERSITAS BANGKA BELITUNG,11811008,AGRIBISNIS,Sarjana,40,191,Tidak Ada,0.2094240837696335,20.94240837696335
UNIVERSITAS BANGKA BELITUNG,11811009,AKUAKULTUR,Sarjana,52,45,Tidak Ada,1.1555555555555554,115.55555555555554
UNIVERSITAS BANGKA BELITUNG,11811010,ILMU KELAUTAN,Sarjana,40,60,Tidak Ada,0.6666666666666666,66.66666666666666
UNIVERSITAS BANGKA BELITUNG,11811011,KIMIA,Sarjana,23,44,Tidak Ada,0.5227272727272727,52.27272727272727
UNIVERSITAS BANGKA BELITUNG,11811012,FISIKA,Sarjana,13,11,Tidak Ada,1.1818181818181819,118.18181818181819
UNIVERSITAS BANGKA BELITUNG,11811013,MATEMATIKA,Sarjana,36,57,Tidak Ada,0.631578947368421,63.1578947368421
UNIVERSITAS BANGKA BELITUNG,11811014,AKUNTANSI,Sarjana,63,306,Tidak Ada,0.20588235294117646,20.588235294117645
UNIVERSITAS BANGKA BELITUNG,11811015,MANAJEMEN,Sarjana,63,623,Tidak Ada,0.10112359550561797,10.112359550561797
UNIVERSITAS BANGKA BELITUNG,11811016,HUKUM,Sarjana,87,331,Tidak Ada,0.2628398791540785,26.283987915407852
UNIVERSITAS BANGKA BELITUNG,11811017,SOSIOLOGI,Sarjana,56,181,Tidak Ada,0.30939226519337015,30.939226519337016
UNIVERSITAS BANGKA BELITUNG,11811018,SASTRA INGGRIS,Sarjana,32,105,Tidak Ada,0.3047619047619048,30.476190476190478
UNIVERSITAS BANGKA BELITUNG,11811019,ILMU POLITIK,Sarjana,32,96,Tidak Ada,0.3333333333333333,33.33333333333333
UNIVERSITAS BANGKA BELITUNG,11811020,EKONOMI,Sarjana,30,172,Tidak Ada,0.1744186046511628,17.441860465116278
UNIVERSITAS BANGKA BELITUNG,11811022,PERENCANAAN WILAYAH DAN KOTA,Sarjana,37,127,Tidak Ada,0.29133858267716534,29.133858267716533
UNIVERSITAS BANGKA BELITUNG,11811023,PERIKANAN TANGKAP,Sarjana,19,20,Tidak Ada,0.95,95.0
UNIVERSITAS BANGKA BELITUNG,11811024,TEKNOLOGI INFORMASI,Sarjana,27,332,Tidak Ada,0.08132530120481928,8.132530120481928
UNIVERSITAS BANGKA BELITUNG,11811025,ARSITEKTUR,Sarjana,26,56,Tidak Ada,0.4642857142857143,46.42857142857143
UNIVERSITAS BANGKA BELITUNG,11811026,BISNIS DIGITAL,Sarjana,30,299,Tidak Ada,0.10033444816053512,10.033444816053512
UNIVERSITAS BANGKA BELITUNG,11811027,KEDOKTERAN,Sarjana,15,261,Tidak Ada,0.05747126436781609,5.747126436781609
UNIVERSITAS BANGKA BELITUNG,11813021,KEPERAWATAN,Diploma Tiga,36,292,Tidak Ada,0.1232876712328767,12.32876712328767
UNIVERSITAS LAMPUNG,11911001,AGROTEKNOLOGI,Sarjana,30,247,Tidak Ada,0.1214574898785425,12.145748987854251
UNIVERSITAS LAMPUNG,11911002,AGRIBISNIS,Sarjana,30,414,Tidak Ada,0.07246376811594203,7.246376811594203
UNIVERSITAS LAMPUNG,11911003,TEKNIK GEOFISIKA,Sarjana,36,97,Tidak Ada,0.3711340206185567,37.11340206185567
UNIVERSITAS LAMPUNG,11911004,TEKNIK SIPIL,Sarjana,54,382,Tidak Ada,0.14136125654450263,14.136125654450263
UNIVERSITAS LAMPUNG,11911005,KIMIA,Sarjana,55,157,Tidak Ada,0.3503184713375796,35.03184713375796
UNIVERSITAS LAMPUNG,11911006,BIOLOGI,Sarjana,40,219,Tidak Ada,0.182648401826484,18.2648401826484
UNIVERSITAS LAMPUNG,11911007,TEKNOLOGI HASIL PERTANIAN,Sarjana,40,177,Tidak Ada,0.22598870056497175,22.598870056497177
UNIVERSITAS LAMPUNG,11911008,PETERNAKAN,Sarjana,25,166,Tidak Ada,0.15060240963855423,15.060240963855422
UNIVERSITAS LAMPUNG,11911009,KEHUTANAN,Sarjana,36,236,Tidak Ada,0.15254237288135594,15.254237288135593
UNIVERSITAS LAMPUNG,11911010,TEKNIK PERTANIAN,Sarjana,30,214,Tidak Ada,0.14018691588785046,14.018691588785046
UNIVERSITAS LAMPUNG,11911011,MATEMATIKA,Sarjana,55,140,Tidak Ada,0.39285714285714285,39.285714285714285
UNIVERSITAS LAMPUNG,11911012,FISIKA,Sarjana,65,47,Tidak Ada,1.3829787234042554,138.29787234042556
UNIVERSITAS LAMPUNG,11911013,TEKNIK MESIN,Sarjana,42,209,Tidak Ada,0.20095693779904306,20.095693779904305
UNIVERSITAS LAMPUNG,11911014,TEKNIK ELEKTRO,Sarjana,54,256,Tidak Ada,0.2109375,21.09375
UNIVERSITAS LAMPUNG,11911015,PEND. MATEMATIKA,Sarjana,30,383,Tidak Ada,0.0783289817232376,7.83289817232376
UNIVERSITAS LAMPUNG,11911016,PEND. FISIKA,Sarjana,40,133,Tidak Ada,0.3007518796992481,30.075187969924812
UNIVERSITAS LAMPUNG,11911017,PEND. KIMIA,Sarjana,35,150,Tidak Ada,0.23333333333333334,23.333333333333332
UNIVERSITAS LAMPUNG,11911018,PEND. BIOLOGI,Sarjana,34,390,Tidak Ada,0.08717948717948718,8.717948717948717
UNIVERSITAS LAMPUNG,11911019,TEKNIK KIMIA,Sarjana,30,134,Tidak Ada,0.22388059701492538,22.388059701492537
UNIVERSITAS LAMPUNG,11911020,PEND. KEDOKTERAN,Sarjana,50,1061,Tidak Ada,0.0471253534401508,4.71253534401508
UNIVERSITAS LAMPUNG,11911021,BUDIDAYA PERAIRAN,Sarjana,30,54,Tidak Ada,0.5555555555555556,55.55555555555556
UNIVERSITAS LAMPUNG,11911022,ILMU KOMPUTER,Sarjana,30,806,Tidak Ada,0.03722084367245657,3.722084367245657
UNIVERSITAS LAMPUNG,11911023,ARSITEKTUR,Sarjana,30,165,Tidak Ada,0.18181818181818182,18.181818181818183
UNIVERSITAS LAMPUNG,11911024,TEKNIK GEODESI,Sarjana,30,104,Tidak Ada,0.28846153846153844,28.846153846153843
UNIVERSITAS LAMPUNG,11911025,TEKNIK INFORMATIKA,Sarjana,45,873,Tidak Ada,0.05154639175257732,5.154639175257731
UNIVERSITAS LAMPUNG,11911026,SUMBERDAYA AKUATIK,Sarjana,25,40,Tidak Ada,0.625,62.5
UNIVERSITAS LAMPUNG,11911027,ILMU TANAH,Sarjana,25,51,Tidak Ada,0.49019607843137253,49.01960784313725
UNIVERSITAS LAMPUNG,11911028,AGRONOMI,Sarjana,30,137,Tidak Ada,0.21897810218978103,21.897810218978105
UNIVERSITAS LAMPUNG,11911029,PROTEKSI TANAMAN,Sarjana,30,81,Tidak Ada,0.37037037037037035,37.03703703703704
UNIVERSITAS LAMPUNG,11911030,PENYULUHAN PERTANIAN,Sarjana,16,70,Tidak Ada,0.22857142857142856,22.857142857142858
UNIVERSITAS LAMPUNG,11911031,ILMU KELAUTAN,Sarjana,30,85,Tidak Ada,0.35294117647058826,35.294117647058826
UNIVERSITAS LAMPUNG,11911032,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,24,144,Tidak Ada,0.16666666666666666,16.666666666666664
UNIVERSITAS LAMPUNG,11911033,NUTRISI DAN TEKNOLOGI PAKAN TERNAK,Sarjana,21,73,Tidak Ada,0.2876712328767123,28.767123287671232
UNIVERSITAS LAMPUNG,11911034,PENDIDIKAN TEKNOLOGI INFORMASI,Sarjana,35,244,Tidak Ada,0.14344262295081966,14.344262295081966
UNIVERSITAS LAMPUNG,11911035,FARMASI,Sarjana,35,1481,Tidak Ada,0.02363268062120189,2.363268062120189
UNIVERSITAS LAMPUNG,11911036,BIOLOGI TERAPAN,Sarjana,30,72,Tidak Ada,0.4166666666666667,41.66666666666667
UNIVERSITAS LAMPUNG,11911037,TEKNIK LINGKUNGAN,Sarjana,27,124,Tidak Ada,0.21774193548387097,21.774193548387096
UNIVERSITAS LAMPUNG,11911038,HUKUM,Sarjana,220,1333,Tidak Ada,0.16504126031507876,16.504126031507877
UNIVERSITAS LAMPUNG,11911039,SOSIOLOGI,Sarjana,65,329,Tidak Ada,0.19756838905775076,19.756838905775076
UNIVERSITAS LAMPUNG,11911040,ILMU PEMERINTAHAN,Sarjana,50,491,Tidak Ada,0.10183299389002037,10.183299389002038
UNIVERSITAS LAMPUNG,11911041,MANAJEMEN,Sarjana,55,1648,Tidak Ada,0.03337378640776699,3.337378640776699
UNIVERSITAS LAMPUNG,11911042,IESP,Sarjana,48,285,Tidak Ada,0.16842105263157894,16.842105263157894
UNIVERSITAS LAMPUNG,11911043,AKUNTANSI,Sarjana,55,1037,Tidak Ada,0.05303760848601736,5.303760848601736
UNIVERSITAS LAMPUNG,11911044,ILMU KOMUNIKASI,Sarjana,50,989,Tidak Ada,0.05055611729019211,5.055611729019211
UNIVERSITAS LAMPUNG,11911045,ILMU ADM. NEGARA,Sarjana,50,573,Tidak Ada,0.08726003490401396,8.726003490401396
UNIVERSITAS LAMPUNG,11911046,ILMU ADM. NIAGA/BISNIS,Sarjana,50,895,Tidak Ada,0.055865921787709494,5.58659217877095
UNIVERSITAS LAMPUNG,11911047,PPKN,Sarjana,35,466,Tidak Ada,0.07510729613733906,7.510729613733906
UNIVERSITAS LAMPUNG,11911048,PEND. SEJARAH,Sarjana,27,295,Tidak Ada,0.09152542372881356,9.152542372881356
UNIVERSITAS LAMPUNG,11911049,PEND. GEOGRAFI,Sarjana,30,266,Tidak Ada,0.11278195488721804,11.278195488721805
UNIVERSITAS LAMPUNG,11911050,PEND. EKONOMI,Sarjana,30,315,Tidak Ada,0.09523809523809523,9.523809523809524
UNIVERSITAS LAMPUNG,11911051,PENDIDIKAN JASMANI,Sarjana,39,213,Olahraga,0.18309859154929578,18.30985915492958
UNIVERSITAS LAMPUNG,11911052,BIMB. KONSELING,Sarjana,35,735,Tidak Ada,0.047619047619047616,4.761904761904762
UNIVERSITAS LAMPUNG,11911053,PEND. BAHASA INDONESIA,Sarjana,35,644,Tidak Ada,0.05434782608695652,5.434782608695652
UNIVERSITAS LAMPUNG,11911054,PEND. B. INGGRIS,Sarjana,35,509,Tidak Ada,0.068762278978389,6.8762278978389
UNIVERSITAS LAMPUNG,11911055,PGSD,Sarjana,90,1639,Tidak Ada,0.05491153142159853,5.491153142159853
UNIVERSITAS LAMPUNG,11911056,PENDIDIKAN TARI,Sarjana,35,95,Tari,0.3684210526315789,36.84210526315789
UNIVERSITAS LAMPUNG,11911057,PENDIDIKAN ANAK USIA DINI,Sarjana,35,167,Tidak Ada,0.20958083832335328,20.958083832335326
UNIVERSITAS LAMPUNG,11911058,HUBUNGAN INTERNASIONAL,Sarjana,50,418,Tidak Ada,0.11961722488038277,11.961722488038278
UNIVERSITAS LAMPUNG,11911059,BAHASA PERANCIS,Sarjana,25,29,Tidak Ada,0.8620689655172413,86.20689655172413
UNIVERSITAS LAMPUNG,11911060,PENDIDIKAN MUSIK,Sarjana,35,41,Musik,0.8536585365853658,85.36585365853658
UNIVERSITAS LAMPUNG,11911061,PENDIDIKAN BAHASA LAMPUNG,Sarjana,25,226,Tidak Ada,0.11061946902654868,11.061946902654867
UNIVERSITAS LAMPUNG,11911074,BISNIS DIGITAL,Sarjana,33,417,Tidak Ada,0.07913669064748201,7.913669064748201
UNIVERSITAS LAMPUNG,11911076,SISTEM INFORMASI,Sarjana,15,270,Tidak Ada,0.05555555555555555,5.555555555555555
UNIVERSITAS LAMPUNG,11911077,TEKNIK GEOLOGI,Sarjana,21,27,Tidak Ada,0.7777777777777778,77.77777777777779
UNIVERSITAS LAMPUNG,11911078,ILMU KOMPUTER PSDKU WAY KANAN,Sarjana,20,4,Tidak Ada,5.0,500.0
UNIVERSITAS LAMPUNG,11912075,TEKNOLOGI REKAYASA OTOMOTIF,Sarjana Terapan,9,19,Tidak Ada,0.47368421052631576,47.368421052631575
UNIVERSITAS LAMPUNG,11913063,MANAJEMEN PEMASARAN,Diploma Tiga,25,59,Tidak Ada,0.423728813559322,42.3728813559322
UNIVERSITAS LAMPUNG,11913064,ADMINISTRASI PERKANTORAN,Diploma Tiga,13,80,Tidak Ada,0.1625,16.25
UNIVERSITAS LAMPUNG,11913065,PERPUSTAKAAN,Diploma Tiga,12,33,Tidak Ada,0.36363636363636365,36.36363636363637
UNIVERSITAS LAMPUNG,11913066,MANAJEMEN INFORMATIKA,Diploma Tiga,10,58,Tidak Ada,0.1724137931034483,17.24137931034483
UNIVERSITAS LAMPUNG,11913067,TEKNIK MESIN,Diploma Tiga,12,17,Tidak Ada,0.7058823529411765,70.58823529411765
UNIVERSITAS LAMPUNG,11913068,TEKNIK SURVEY DAN PEMETAAN,Diploma Tiga,12,11,Tidak Ada,1.0909090909090908,109.09090909090908
UNIVERSITAS LAMPUNG,11913069,PERPAJAKAN,Diploma Tiga,28,138,Tidak Ada,0.2028985507246377,20.28985507246377
UNIVERSITAS LAMPUNG,11913070,KEUANGAN DAN PERBANKAN,Diploma Tiga,25,102,Tidak Ada,0.24509803921568626,24.509803921568626
UNIVERSITAS LAMPUNG,11913071,TEKNIK SIPIL,Diploma Tiga,9,11,Tidak Ada,0.8181818181818182,81.81818181818183
UNIVERSITAS LAMPUNG,11913072,HUBUNGAN MASYARAKAT,Diploma Tiga,13,31,Tidak Ada,0.41935483870967744,41.935483870967744
UNIVERSITAS LAMPUNG,11913073,AKUNTANSI,Diploma Tiga,28,69,Tidak Ada,0.4057971014492754,40.57971014492754
UNIVERSITAS LAMPUNG,11913079,AKUNTANSI PSDKU WAY KANAN,Diploma Tiga,28,1,Tidak Ada,28.0,2800.0
UNIVERSITAS LAMPUNG,11913080,PERBANKAN DAN KEUANGAN PSDKU LAMPUNG TENGAH,Diploma Tiga,28,4,Tidak Ada,7.0,700.0
INSTITUT TEKNOLOGI SUMATERA,11921001,TEKNIK GEOMATIKA,Sarjana,45,82,Tidak Ada,0.5487804878048781,54.87804878048781
INSTITUT TEKNOLOGI SUMATERA,11921002,TEKNIK ELEKTRO,Sarjana,51,222,Tidak Ada,0.22972972972972974,22.972972972972975
INSTITUT TEKNOLOGI SUMATERA,11921003,PERENCANAAN WILAYAH DAN KOTA,Sarjana,63,207,Tidak Ada,0.30434782608695654,30.434782608695656
INSTITUT TEKNOLOGI SUMATERA,11921004,TEKNIK GEOFISIKA,Sarjana,60,92,Tidak Ada,0.6521739130434783,65.21739130434783
INSTITUT TEKNOLOGI SUMATERA,11921005,TEKNIK SIPIL,Sarjana,63,375,Tidak Ada,0.168,16.8
INSTITUT TEKNOLOGI SUMATERA,11921006,TEKNIK INFORMATIKA,Sarjana,66,811,Tidak Ada,0.08138101109741061,8.138101109741061
INSTITUT TEKNOLOGI SUMATERA,11921007,FISIKA,Sarjana,23,16,Tidak Ada,1.4375,143.75
INSTITUT TEKNOLOGI SUMATERA,11921008,ARSITEKTUR,Sarjana,45,77,Tidak Ada,0.5844155844155844,58.44155844155844
INSTITUT TEKNOLOGI SUMATERA,11921009,TEKNIK LINGKUNGAN,Sarjana,45,161,Tidak Ada,0.2795031055900621,27.95031055900621
INSTITUT TEKNOLOGI SUMATERA,11921010,TEKNIK GEOLOGI,Sarjana,38,152,Tidak Ada,0.25,25.0
INSTITUT TEKNOLOGI SUMATERA,11921011,MATEMATIKA,Sarjana,30,77,Tidak Ada,0.38961038961038963,38.961038961038966
INSTITUT TEKNOLOGI SUMATERA,11921012,TEKNIK MESIN,Sarjana,36,184,Tidak Ada,0.1956521739130435,19.565217391304348
INSTITUT TEKNOLOGI SUMATERA,11921013,BIOLOGI,Sarjana,30,71,Tidak Ada,0.4225352112676056,42.25352112676056
INSTITUT TEKNOLOGI SUMATERA,11921014,TEKNIK INDUSTRI,Sarjana,48,412,Tidak Ada,0.11650485436893204,11.650485436893204
INSTITUT TEKNOLOGI SUMATERA,11921015,FARMASI,Sarjana,56,909,Tidak Ada,0.061606160616061605,6.16061606160616
INSTITUT TEKNOLOGI SUMATERA,11921016,TEKNIK KIMIA,Sarjana,47,130,Tidak Ada,0.36153846153846153,36.15384615384615
INSTITUT TEKNOLOGI SUMATERA,11921017,KIMIA,Sarjana,30,45,Tidak Ada,0.6666666666666666,66.66666666666666
INSTITUT TEKNOLOGI SUMATERA,11921018,TEKNIK FISIKA,Sarjana,27,12,Tidak Ada,2.25,225.0
INSTITUT TEKNOLOGI SUMATERA,11921019,TEKNIK KELAUTAN,Sarjana,30,84,Tidak Ada,0.35714285714285715,35.714285714285715
INSTITUT TEKNOLOGI SUMATERA,11921020,SAINS ATMOSFIR DAN KEPLANETAN,Sarjana,30,38,Tidak Ada,0.7894736842105263,78.94736842105263
INSTITUT TEKNOLOGI SUMATERA,11921021,TEKNIK BIOSISTEM,Sarjana,33,44,Tidak Ada,0.75,75.0
INSTITUT TEKNOLOGI SUMATERA,11921022,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,39,157,Tidak Ada,0.2484076433121019,24.840764331210192
INSTITUT TEKNOLOGI SUMATERA,11921023,TEKNIK SISTEM ENERGI,Sarjana,30,40,Tidak Ada,0.75,75.0
INSTITUT TEKNOLOGI SUMATERA,11921024,TEKNOLOGI PANGAN,Sarjana,45,310,Tidak Ada,0.14516129032258066,14.516129032258066
INSTITUT TEKNOLOGI SUMATERA,11921025,TEKNIK MATERIAL,Sarjana,38,63,Tidak Ada,0.6031746031746031,60.317460317460316
INSTITUT TEKNOLOGI SUMATERA,11921026,TEKNIK PERTAMBANGAN,Sarjana,57,604,Tidak Ada,0.09437086092715231,9.437086092715232
INSTITUT TEKNOLOGI SUMATERA,11921027,ARSITEKTUR LANSKAP,Sarjana,30,99,Tidak Ada,0.30303030303030304,30.303030303030305
INSTITUT TEKNOLOGI SUMATERA,11921028,DESAIN KOMUNIKASI VISUAL,Sarjana,39,146,"Seni Rupa, Desain, dan Kriya",0.2671232876712329,26.71232876712329
INSTITUT TEKNOLOGI SUMATERA,11921029,TEKNIK TELEKOMUNIKASI,Sarjana,32,122,Tidak Ada,0.26229508196721313,26.229508196721312
INSTITUT TEKNOLOGI SUMATERA,11921030,SAINS AKTUARIA,Sarjana,39,121,Tidak Ada,0.32231404958677684,32.231404958677686
INSTITUT TEKNOLOGI SUMATERA,11921031,REKAYASA KEHUTANAN,Sarjana,39,68,Tidak Ada,0.5735294117647058,57.35294117647059
INSTITUT TEKNOLOGI SUMATERA,11921032,TEKNIK BIOMEDIS,Sarjana,44,295,Tidak Ada,0.14915254237288136,14.915254237288137
INSTITUT TEKNOLOGI SUMATERA,11921033,SAINS LINGKUNGAN KELAUTAN,Sarjana,18,23,Tidak Ada,0.782608695652174,78.26086956521739
INSTITUT TEKNOLOGI SUMATERA,11921034,SAINS DATA,Sarjana,39,195,Tidak Ada,0.2,20.0
INSTITUT TEKNOLOGI SUMATERA,11921035,TEKNIK PERKERETAAPIAN,Sarjana,27,212,Tidak Ada,0.12735849056603774,12.735849056603774
INSTITUT TEKNOLOGI SUMATERA,11921036,REKAYASA TATA KELOLA AIR TERPADU,Sarjana,27,20,Tidak Ada,1.35,135.0
INSTITUT TEKNOLOGI SUMATERA,11921037,REKAYASA INSTRUMENTASI DAN AUTOMASI,Sarjana,32,46,Tidak Ada,0.6956521739130435,69.56521739130434
INSTITUT TEKNOLOGI SUMATERA,11921038,REKAYASA MINYAK DAN GAS,Sarjana,29,152,Tidak Ada,0.19078947368421054,19.078947368421055
INSTITUT TEKNOLOGI SUMATERA,11921039,REKAYASA KOSMETIK,Sarjana,32,225,Tidak Ada,0.14222222222222222,14.222222222222221
INSTITUT TEKNOLOGI SUMATERA,11921040,PARIWISATA,Sarjana,24,156,Tidak Ada,0.15384615384615385,15.384615384615385
INSTITUT TEKNOLOGI SUMATERA,11921041,REKAYASA KEOLAHRAGAAN,Sarjana,21,19,Tidak Ada,1.105263157894737,110.5263157894737
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111001,TEKNIK MESIN,Sarjana,55,404,Tidak Ada,0.13613861386138615,13.613861386138614
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111002,TEKNIK ELEKTRO,Sarjana,55,445,Tidak Ada,0.12359550561797752,12.359550561797752
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111003,TEKNIK INDUSTRI,Sarjana,55,879,Tidak Ada,0.06257110352673492,6.257110352673492
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111004,TEKNIK METALURGI,Sarjana,50,304,Tidak Ada,0.16447368421052633,16.447368421052634
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111005,TEKNIK KIMIA,Sarjana,55,398,Tidak Ada,0.13819095477386933,13.819095477386934
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111006,TEKNIK SIPIL,Sarjana,55,484,Tidak Ada,0.11363636363636363,11.363636363636363
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111007,AGRIBISNIS,Sarjana,81,429,Tidak Ada,0.1888111888111888,18.88111888111888
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111008,AGROEKOTEKNOLOGI,Sarjana,90,327,Tidak Ada,0.27522935779816515,27.522935779816514
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111009,ILMU PERIKANAN,Sarjana,57,156,Tidak Ada,0.36538461538461536,36.53846153846153
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111010,PENDIDIKAN BIOLOGI,Sarjana,50,260,Tidak Ada,0.19230769230769232,19.230769230769234
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111011,PENDIDIKAN MATEMATIKA,Sarjana,71,293,Tidak Ada,0.24232081911262798,24.2320819112628
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111012,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,Sarjana,30,80,Tidak Ada,0.375,37.5
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111013,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,31,69,Tidak Ada,0.4492753623188406,44.927536231884055
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111014,PENDIDIKAN FISIKA,Sarjana,31,106,Tidak Ada,0.29245283018867924,29.245283018867923
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111015,PENDIDIKAN KIMIA,Sarjana,45,154,Tidak Ada,0.2922077922077922,29.22077922077922
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111016,PENDIDIKAN IPA,Sarjana,35,163,Tidak Ada,0.2147239263803681,21.472392638036812
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111017,TEKNOLOGI PANGAN,Sarjana,47,511,Tidak Ada,0.09197651663405088,9.197651663405088
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111018,ILMU KEOLAHRAGAAN,Sarjana,20,135,Olahraga,0.14814814814814814,14.814814814814813
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111019,GIZI,Sarjana,17,589,Tidak Ada,0.028862478777589132,2.886247877758913
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111020,KEDOKTERAN,Sarjana,12,562,Tidak Ada,0.021352313167259787,2.135231316725979
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111021,INFORMATIKA,Sarjana,50,1096,Tidak Ada,0.04562043795620438,4.562043795620438
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111022,KEPERAWATAN,Sarjana,20,1089,Tidak Ada,0.018365472910927456,1.8365472910927456
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111023,ILMU KELAUTAN,Sarjana,40,200,Tidak Ada,0.2,20.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111024,HUKUM,Sarjana,168,1087,Tidak Ada,0.1545538178472861,15.455381784728612
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111025,MANAJEMEN,Sarjana,78,2086,Tidak Ada,0.037392138063279005,3.7392138063279003
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111026,AKUNTANSI,Sarjana,78,1115,Tidak Ada,0.06995515695067264,6.995515695067264
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111027,EKONOMI PEMBANGUNAN,Sarjana,62,351,Tidak Ada,0.17663817663817663,17.663817663817664
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111028,ADMINISTRASI PUBLIK,Sarjana,70,861,Tidak Ada,0.08130081300813008,8.130081300813007
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111029,ILMU KOMUNIKASI,Sarjana,85,1542,Tidak Ada,0.05512321660181582,5.512321660181582
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111030,PENDIDIKAN NON FORMAL,Sarjana,38,71,Tidak Ada,0.5352112676056338,53.52112676056338
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111031,PENDIDIKAN BAHASA INDONESIA,Sarjana,71,492,Tidak Ada,0.1443089430894309,14.43089430894309
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111032,PENDIDIKAN BAHASA INGGRIS,Sarjana,65,527,Tidak Ada,0.12333965844402277,12.333965844402277
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111033,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,45,935,Tidak Ada,0.0481283422459893,4.81283422459893
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111034,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,Sarjana,52,185,Tidak Ada,0.2810810810810811,28.10810810810811
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111035,EKONOMI SYARIAH,Sarjana,62,316,Tidak Ada,0.1962025316455696,19.62025316455696
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111036,PENDIDIKAN SOSIOLOGI,Sarjana,37,280,Tidak Ada,0.13214285714285715,13.214285714285715
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111037,PENDIDIKAN SEJARAH,Sarjana,37,224,Tidak Ada,0.16517857142857142,16.517857142857142
UNIVERSITAS SULTAN AGENG TIRTAYASA,13111038,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,37,208,Tidak Ada,0.1778846153846154,17.78846153846154
