NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
UNIVERSITAS SYIAH KUALA,11111056,PSIKOLOGI,Sarjana,24,619,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111057,ILMU POLITIK,Sarjana,48,153,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111058,SOSIOLOGI,Sarjana,36,222,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111059,ILMU KOMUNIKASI,Sarjana,54,578,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111060,PENDIDIKAN GURU PAUD,Sarjana,42,327,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111061,ILMU PEMERINTAHAN,Sarjana,54,258,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111062,EKONOMI ISLAM,Sarjana,48,265,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,24,34,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111078,TEKNOLOGI INDUSTRI HASIL PERIKANAN,Sarjana,15,0,Tidak Ada
UNIVERSITAS SYIAH KUALA,11112065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,24,75,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113064,KESEHATAN HEWAN,Diploma Tiga,9,10,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113066,MANAJEMEN AGRIBISNIS,Diploma Tiga,30,17,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113067,TEKNIK LISTRIK,Diploma Tiga,12,9,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113068,BUDIDAYA PETERNAKAN,Diploma Tiga,18,5,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113069,TEKNIK MESIN,Diploma Tiga,12,16,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113071,TEKNIK SIPIL,Diploma Tiga,24,15,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113072,SEKRETARI,Diploma Tiga,12,18,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113073,MANAJEMEN PERUSAHAAN,Diploma Tiga,12,20,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113075,AKUNTANSI,Diploma Tiga,24,15,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113076,KEUANGAN DAN PERBANKAN,Diploma Tiga,24,36,Tidak Ada
UNIVERSITAS SYIAH KUALA,11113077,MANAJEMEN INFORMATIKA,Diploma Tiga,24,33,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121001,TEKNIK SIPIL,Sarjana,165,214,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121002,TEKNIK MESIN,Sarjana,150,215,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121003,TEKNIK KIMIA,Sarjana,125,126,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121004,TEKNIK ELEKTRO,Sarjana,100,158,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121005,TEKNIK INDUSTRI,Sarjana,125,259,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121006,TEKNIK INFORMATIKA,Sarjana,148,645,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121007,TEKNIK ARSITEKTUR,Sarjana,75,84,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121008,AGROEKOTEKNOLOGI,Sarjana,150,242,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121009,AGRIBISNIS,Sarjana,125,187,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121010,AKUAKULTUR,Sarjana,50,19,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121011,KEDOKTERAN,Sarjana,47,738,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121012,PENDIDIKAN FISIKA,Sarjana,60,54,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121013,PENDIDIKAN KIMIA,Sarjana,60,51,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121014,PENDIDIKAN MATEMATIKA,Sarjana,60,107,Tidak Ada
