NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
UNIVERSITAS JENDERAL SOEDIRMAN,13511011,KESEHATAN MASYARAKAT,Sarjana,66,1041,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511012,KEPERAWATAN,Sarjana,60,1364,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511013,FARMASI,Sarjana,66,1276,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511014,TEKNIK GEOLOGI,Sarjana,60,404,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511015,ILMU KELAUTAN,Sarjana,60,270,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511016,AGROTEKNOLOGI,Sarjana,90,528,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511017,AGRIBISNIS,Sarjana,59,567,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511018,TEKNOLOGI PANGAN,Sarjana,60,799,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511019,PETERNAKAN,Sarjana,90,455,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511020,INFORMATIKA,Sarjana,57,996,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511021,KEDOKTERAN GIGI,Sarjana,21,558,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511022,ILMU GIZI,Sarjana,66,802,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511023,PENDIDIKAN JASMANI,Sarjana,66,343,Olahraga
UNIVERSITAS JENDERAL SOEDIRMAN,13511024,TEKNIK INDUSTRI,Sarjana,48,658,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511025,HUKUM,Sarjana,96,985,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511026,SOSIOLOGI,Sarjana,66,490,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511027,ADMINISTRASI PUBLIK,Sarjana,66,1049,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511028,MANAJEMEN,Sarjana,42,1431,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511029,EKONOMI PEMBANGUNAN,Sarjana,42,604,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511030,AKUNTANSI,Sarjana,42,915,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511031,ILMU KOMUNIKASI,Sarjana,66,1221,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511032,ILMU POLITIK,Sarjana,54,435,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511033,SASTRA INDONESIA,Sarjana,48,336,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511034,SASTRA INGGRIS,Sarjana,48,456,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511035,HUBUNGAN INTERNASIONAL,Sarjana,57,649,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511036,SASTRA JEPANG,Sarjana,48,331,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511037,PENDIDIKAN EKONOMI,Sarjana,30,395,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511038,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,724,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511039,PENDIDIKAN BAHASA INGGRIS,Sarjana,48,497,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511053,MIKROBIOLOGI,Sarjana,32,104,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511054,TEKNIK MESIN,Sarjana,24,248,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511055,PENDIDIKAN BAHASA JEPANG,Sarjana,36,92,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511056,PROTEKSI TANAMAN,Sarjana,28,41,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511057,STATISTIK,Sarjana,36,206,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511058,BIOLOGI TERAPAN,Sarjana,32,42,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13511059,TEKNIK KOMPUTER,Sarjana,24,456,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513040,ADMINISTRASI BISNIS,Diploma Tiga,36,262,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513041,BAHASA MANDARIN,Diploma Tiga,56,31,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513042,BUDI DAYA IKAN,Diploma Tiga,48,19,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513043,AGRIBISNIS,Diploma Tiga,48,68,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513044,PERENCANAAN SUMBER DAYA LAHAN,Diploma Tiga,36,29,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513046,BAHASA INGGRIS,Diploma Tiga,56,78,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513048,AKUNTANSI,Diploma Tiga,36,160,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513049,BISNIS INTERNASIONAL,Diploma Tiga,36,102,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513051,ADMINISTRASI PERKANTORAN,Diploma Tiga,36,212,Tidak Ada
UNIVERSITAS JENDERAL SOEDIRMAN,13513052,BUDI DAYA TERNAK,Diploma Tiga,92,54,Tidak Ada
UNIVERSITAS TIDAR,13521001,AGROTEKNOLOGI,Sarjana,45,264,Tidak Ada
UNIVERSITAS TIDAR,13521002,TEKNIK SIPIL,Sarjana,30,287,Tidak Ada
UNIVERSITAS TIDAR,13521003,TEKNIK MESIN,Sarjana,32,208,Tidak Ada
UNIVERSITAS TIDAR,13521004,TEKNIK ELEKTRO,Sarjana,24,152,Tidak Ada
UNIVERSITAS TIDAR,13521005,PETERNAKAN,Sarjana,45,187,Tidak Ada
UNIVERSITAS TIDAR,13521006,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,32,190,Tidak Ada
UNIVERSITAS TIDAR,13521007,PENDIDIKAN BIOLOGI,Sarjana,32,199,Tidak Ada
UNIVERSITAS TIDAR,13521008,PENDIDIKAN MATEMATIKA,Sarjana,32,234,Tidak Ada
UNIVERSITAS TIDAR,13521009,AKUAKULTUR,Sarjana,45,88,Tidak Ada
UNIVERSITAS TIDAR,13521010,EKONOMI PEMBANGUNAN,Sarjana,40,396,Tidak Ada
UNIVERSITAS TIDAR,13521011,ILMU ADMINISTRASI NEGARA,Sarjana,75,616,Tidak Ada
UNIVERSITAS TIDAR,13521012,PENDIDIKAN BAHASA INGGRIS,Sarjana,40,318,Tidak Ada
UNIVERSITAS TIDAR,13521013,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,40,485,Tidak Ada
UNIVERSITAS TIDAR,13521014,HUKUM,Sarjana,75,521,Tidak Ada
UNIVERSITAS TIDAR,13521015,MANAJEMEN,Sarjana,40,813,Tidak Ada
UNIVERSITAS TIDAR,13521016,ILMU KOMUNIKASI,Sarjana,75,616,Tidak Ada
UNIVERSITAS TIDAR,13521017,AKUNTANSI,Sarjana,40,525,Tidak Ada
UNIVERSITAS TIDAR,13521020,PARIWISATA,Sarjana,35,311,Tidak Ada
UNIVERSITAS TIDAR,13521021,TEKNOLOGI PANGAN,Sarjana,30,261,Tidak Ada
UNIVERSITAS TIDAR,13521022,TEKNOLOGI INFORMASI,Sarjana,16,261,Tidak Ada
UNIVERSITAS TIDAR,13521023,TEKNIK MEKATRONIKA,Sarjana,16,54,Tidak Ada
UNIVERSITAS TIDAR,13521024,TEKNIK INDUSTRI,Sarjana,16,159,Tidak Ada
UNIVERSITAS TIDAR,13521025,AGRIBISNIS,Sarjana,30,190,Tidak Ada
UNIVERSITAS TIDAR,13521026,GIZI,Sarjana,30,431,Tidak Ada
UNIVERSITAS TIDAR,13522019,TEKNOLOGI REKAYASA PERANCANGAN MANUFAKTUR,Sarjana Terapan,12,28,Tidak Ada
UNIVERSITAS TIDAR,13522027,AKUNTANSI PERPAJAKAN,Sarjana Terapan,20,112,Tidak Ada
UNIVERSITAS TIDAR,13523018,AKUNTANSI,Diploma Tiga,50,133,Tidak Ada
UNIVERSITAS TIDAR,13523028,FARMASI,Diploma Tiga,30,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531001,KEDOKTERAN,Sarjana,48,1290,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531002,PSIKOLOGI,Sarjana,60,1593,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531003,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,Sarjana,36,430,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531004,AGRIBISNIS,Sarjana,32,502,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531005,PETERNAKAN,Sarjana,75,332,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531006,ILMU DAN TEKNOLOGI PANGAN,Sarjana,24,586,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531007,TEKNIK SIPIL,Sarjana,36,770,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531008,ARSITEKTUR,Sarjana,26,427,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531009,TEKNIK INDUSTRI,Sarjana,26,671,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531010,TEKNIK MESIN,Sarjana,30,610,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531011,TEKNIK KIMIA,Sarjana,24,339,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531012,MATEMATIKA,Sarjana,27,183,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531013,FISIKA,Sarjana,27,74,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531014,KIMIA,Sarjana,27,143,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531015,BIOLOGI,Sarjana,27,137,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531016,PERENCANAAN WILAYAH DAN KOTA (PWK),Sarjana,22,283,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531017,INFORMATIKA,Sarjana,30,1383,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531018,PENDIDIKAN FISIKA,Sarjana,27,109,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531019,PENDIDIKAN KIMIA,Sarjana,30,124,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531020,PENDIDIKAN BIOLOGI,Sarjana,20,234,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531021,PENDIDIKAN MATEMATIKA,Sarjana,18,301,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531022,PENDIDIKAN TEKNIK MESIN,Sarjana,27,121,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531023,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,27,72,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531024,PENDIDIKAN TEKNIK INFORMATIKA & KOMPUTER,Sarjana,18,308,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531025,ILMU TANAH,Sarjana,26,208,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531026,PENYULUHAN DAN KOMUNIKASI PERTANIAN,Sarjana,24,206,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531027,FARMASI,Sarjana,16,1090,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531028,TEKNIK ELEKTRO,Sarjana,16,348,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531029,STATISTIKA,Sarjana,22,307,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531030,PENDIDIKAN IPA,Sarjana,16,190,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531031,ILMU LINGKUNGAN,Sarjana,16,242,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531032,PENGELOLAAN HUTAN,Sarjana,20,225,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531034,KEBIDANAN,Sarjana,14,388,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531035,ILMU ADMINISTRASI NEGARA,Sarjana,28,618,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531036,ILMU KOMUNIKASI,Sarjana,27,1141,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531037,SOSIOLOGI,Sarjana,28,286,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531038,ILMU HUKUM,Sarjana,120,1295,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531039,EKONOMI PEMBANGUNAN,Sarjana,36,562,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531040,MANAJEMEN,Sarjana,40,1972,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531041,AKUNTANSI,Sarjana,34,1104,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531042,ILMU SEJARAH,Sarjana,17,154,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531043,SASTRA INDONESIA,Sarjana,17,169,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531044,SASTRA INGGRIS,Sarjana,17,390,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531045,SASTRA DAERAH UNTUK SASTRA JAWA,Sarjana,26,71,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531046,DESAIN MODE,Sarjana,18,60,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SEBELAS MARET,13531047,SENI RUPA,Sarjana,18,43,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SEBELAS MARET,13531048,DESAIN INTERIOR,Sarjana,18,125,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SEBELAS MARET,13531049,DESAIN KOMUNIKASI VISUAL,Sarjana,30,505,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SEBELAS MARET,13531050,PENDIDIKAN SEJARAH,Sarjana,16,228,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531051,PENDIDIKAN GEOGRAFI,Sarjana,27,160,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531052,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),Sarjana,18,194,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531053,PENDIDIKAN LUAR BIASA (PENDIDIKAN KHUSUS),Sarjana,24,154,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531054,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",Sarjana,31,324,Olahraga
UNIVERSITAS SEBELAS MARET,13531055,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,32,241,Olahraga
UNIVERSITAS SEBELAS MARET,13531057,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",Sarjana,18,331,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531058,PENDIDIKAN BAHASA INGGRIS,Sarjana,18,358,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531059,PENDIDIKAN SENI RUPA,Sarjana,24,79,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SEBELAS MARET,13531060,PENDIDIKAN SOSIOLOGI ANTROPOLOGI,Sarjana,16,194,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531061,PEND. GURU SEKOLAH DASAR (PGSD) SURAKARTA,Sarjana,40,1135,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531062,BIMBINGAN DAN KONSELING,Sarjana,18,457,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531063,PEND. GURU PEND ANAK USIA DINI (PG-PAUD),Sarjana,16,157,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531064,SASTRA ARAB,Sarjana,17,184,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531065,PENDIDIKAN BAHASA JAWA,Sarjana,24,169,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531066,PEND. GURU SEKOLAH DASAR (PGSD) KEBUMEN,Sarjana,24,309,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531067,HUBUNGAN INTERNASIONAL,Sarjana,18,378,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531068,PENDIDIKAN AKUNTANSI,Sarjana,27,151,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531069,PENDIDIKAN ADMINISTRASI PERKANTORAN,Sarjana,18,306,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531070,PENDIDIKAN EKONOMI,Sarjana,24,248,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531094,TEKNOLOGI PENDIDIKAN,Sarjana,18,202,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531095,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,Sarjana,23,116,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531096,BISNIS DIGITAL,Sarjana,24,793,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531097,SAINS DATA,Sarjana,12,312,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531104,ILMU ADMINISTRASI NEGARA (KAMPUS KABUPATEN KEBUMEN),Sarjana,24,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531105,INFORMATIKA (KAMPUS KABUPATEN KEBUMEN),Sarjana,15,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13531106,PROTEKSI TANAMAN,Sarjana,24,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532033,KESELAMATAN DAN KESEHATAN KERJA,Sarjana Terapan,24,771,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532071,DEMOGRAFI DAN PENCATATAN SIPIL,Sarjana Terapan,30,344,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532098,KEPERAWATAN ANESTESIOLOGI,Sarjana Terapan,12,812,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532099,TEKNOLOGI REKAYASA MANUFAKTUR,Sarjana Terapan,18,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532100,PEMASARAN DIGITAL,Sarjana Terapan,21,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532101,PERBANKAN DAN KEUANGAN DIGITAL,Sarjana Terapan,24,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13532107,BAHASA MANDARIN UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,Sarjana Terapan,18,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533072,AKUNTANSI,Diploma Tiga,18,231,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533073,KEBIDANAN,Diploma Tiga,18,239,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533076,PERPUSTAKAAN,Diploma Tiga,16,148,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533077,TEKNOLOGI HASIL PERTANIAN,Diploma Tiga,16,114,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533078,PERPAJAKAN,Diploma Tiga,18,294,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533079,TEKNIK INFORMATIKA,Diploma Tiga,18,407,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533081,USAHA PERJALANAN WISATA,Diploma Tiga,18,238,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533082,AGRIBISNIS,Diploma Tiga,26,122,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533083,TEKNIK KIMIA,Diploma Tiga,9,64,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533088,KOMUNIKASI TERAPAN,Diploma Tiga,30,186,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533089,FARMASI,Diploma Tiga,14,452,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533090,BUDI DAYA TERNAK,Diploma Tiga,12,45,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533091,MANAJEMEN ADMINISTRASI,Diploma Tiga,18,326,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533102,TEKNIK INFORMATIKA (KAMPUS KABUPATEN MADIUN),Diploma Tiga,18,0,Tidak Ada
UNIVERSITAS SEBELAS MARET,13533103,AKUNTANSI (KAMPUS KABUPATEN MADIUN),Diploma Tiga,18,0,Tidak Ada
ISI SURAKARTA,13541001,TARI,Sarjana,39,118,Tari
ISI SURAKARTA,13541002,ETNOMUSIKOLOGI,Sarjana,24,23,Etnomusikologi
ISI SURAKARTA,13541003,TEATER,Sarjana,12,7,Teater
ISI SURAKARTA,13541004,KRIYA,Sarjana,20,22,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13541005,SENI MURNI,Sarjana,24,51,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13541006,DESAIN INTERIOR,Sarjana,36,87,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13541007,DESAIN KOMUNIKASI VISUAL,Sarjana,54,385,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13541008,FILM DAN TELEVISI,Sarjana,45,188,Film dan Televisi
ISI SURAKARTA,13541009,FOTOGRAFI,Sarjana,36,91,Fotografi
ISI SURAKARTA,13541010,SENI KARAWITAN,Sarjana,33,69,Seni Karawitan
ISI SURAKARTA,13541011,SENI PEDALANGAN,Sarjana,15,23,Seni Pedalangan
ISI SURAKARTA,13541014,SENI INTERMEDIA,Sarjana,8,22,Tidak Ada
ISI SURAKARTA,13541015,KOREOGRAFI INKUIRI,Sarjana,8,12,Tidak Ada
ISI SURAKARTA,13541017,DESAIN PRODUK INDUSTRI,Sarjana,9,0,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13541020,ARSITEKTUR,Sarjana,8,0,Tidak Ada
ISI SURAKARTA,13542012,SENJATA TRADISIONAL KERIS,Sarjana Terapan,8,2,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13542013,DESAIN MODE BATIK,Sarjana Terapan,27,43,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13542016,ANIMASI,Sarjana Terapan,12,70,"Seni Rupa, Desain, dan Kriya"
ISI SURAKARTA,13542018,TATA KELOLA SENI,Sarjana Terapan,8,0,Tidak Ada
ISI SURAKARTA,13542019,DESTINASI PARIWISATA,Sarjana Terapan,8,0,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS DIPONEGORO,13551001,KESEHATAN MASYARAKAT,Sarjana,82,1432,Tidak Ada
UNIVERSITAS DIPONEGORO,13551002,KEDOKTERAN,Sarjana,60,1703,Tidak Ada
UNIVERSITAS DIPONEGORO,13551003,KEPERAWATAN,Sarjana,54,1698,Tidak Ada
UNIVERSITAS DIPONEGORO,13551004,GIZI,Sarjana,35,881,Tidak Ada
UNIVERSITAS DIPONEGORO,13551005,MATEMATIKA,Sarjana,66,327,Tidak Ada
UNIVERSITAS DIPONEGORO,13551006,BIOLOGI,Sarjana,63,285,Tidak Ada
UNIVERSITAS DIPONEGORO,13551007,KIMIA,Sarjana,63,295,Tidak Ada
UNIVERSITAS DIPONEGORO,13551008,FISIKA,Sarjana,63,174,Tidak Ada
UNIVERSITAS DIPONEGORO,13551009,STATISTIKA,Sarjana,44,639,Tidak Ada
UNIVERSITAS DIPONEGORO,13551010,INFORMATIKA,Sarjana,50,1464,Tidak Ada
UNIVERSITAS DIPONEGORO,13551011,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,30,208,Tidak Ada
UNIVERSITAS DIPONEGORO,13551012,AKUAKULTUR,Sarjana,25,167,Tidak Ada
UNIVERSITAS DIPONEGORO,13551013,PERIKANAN TANGKAP,Sarjana,22,93,Tidak Ada
UNIVERSITAS DIPONEGORO,13551014,ILMU KELAUTAN,Sarjana,38,289,Tidak Ada
UNIVERSITAS DIPONEGORO,13551015,OCEANOGRAFI,Sarjana,35,238,Tidak Ada
UNIVERSITAS DIPONEGORO,13551016,TEKNOLOGI HASIL PERIKANAN,Sarjana,24,144,Tidak Ada
UNIVERSITAS DIPONEGORO,13551017,TEKNIK SIPIL,Sarjana,65,899,Tidak Ada
UNIVERSITAS DIPONEGORO,13551018,ARSITEKTUR,Sarjana,55,648,Tidak Ada
UNIVERSITAS DIPONEGORO,13551019,TEKNIK MESIN,Sarjana,60,664,Tidak Ada
UNIVERSITAS DIPONEGORO,13551020,TEKNIK KIMIA,Sarjana,65,644,Tidak Ada
UNIVERSITAS DIPONEGORO,13551021,TEKNIK ELEKTRO,Sarjana,60,682,Tidak Ada
UNIVERSITAS DIPONEGORO,13551022,PERENCANAAN WILAYAH DAN KOTA,Sarjana,65,641,Tidak Ada
UNIVERSITAS DIPONEGORO,13551023,TEKNIK INDUSTRI,Sarjana,60,1071,Tidak Ada
UNIVERSITAS DIPONEGORO,13551024,TEKNIK LINGKUNGAN,Sarjana,55,537,Tidak Ada
UNIVERSITAS DIPONEGORO,13551025,TEKNIK PERKAPALAN,Sarjana,55,368,Tidak Ada
UNIVERSITAS DIPONEGORO,13551026,TEKNIK GEOLOGI,Sarjana,50,641,Tidak Ada
UNIVERSITAS DIPONEGORO,13551027,TEKNIK GEODESI,Sarjana,55,409,Tidak Ada
UNIVERSITAS DIPONEGORO,13551028,TEKNIK KOMPUTER,Sarjana,55,765,Tidak Ada
UNIVERSITAS DIPONEGORO,13551029,PETERNAKAN,Sarjana,70,463,Tidak Ada
UNIVERSITAS DIPONEGORO,13551030,TEKNOLOGI PANGAN,Sarjana,48,868,Tidak Ada
UNIVERSITAS DIPONEGORO,13551031,AGROEKOTEKNOLOGI,Sarjana,44,437,Tidak Ada
UNIVERSITAS DIPONEGORO,13551032,AGRIBISNIS,Sarjana,44,525,Tidak Ada
UNIVERSITAS DIPONEGORO,13551033,KEDOKTERAN GIGI,Sarjana,12,510,Tidak Ada
UNIVERSITAS DIPONEGORO,13551034,FARMASI,Sarjana,18,957,Tidak Ada
UNIVERSITAS DIPONEGORO,13551035,BIOTEKNOLOGI,Sarjana,28,445,Tidak Ada
UNIVERSITAS DIPONEGORO,13551036,SASTRA INDONESIA,Sarjana,44,381,Tidak Ada
UNIVERSITAS DIPONEGORO,13551037,SASTRA INGGRIS,Sarjana,43,556,Tidak Ada
UNIVERSITAS DIPONEGORO,13551038,SEJARAH,Sarjana,35,230,Tidak Ada
UNIVERSITAS DIPONEGORO,13551039,ILMU PERPUSTAKAAN,Sarjana,39,327,Tidak Ada
UNIVERSITAS DIPONEGORO,13551040,HUKUM,Sarjana,184,1991,Tidak Ada
UNIVERSITAS DIPONEGORO,13551041,MANAJEMEN,Sarjana,78,1917,Tidak Ada
UNIVERSITAS DIPONEGORO,13551042,EKONOMI,Sarjana,78,597,Tidak Ada
UNIVERSITAS DIPONEGORO,13551043,AKUNTANSI,Sarjana,78,1373,Tidak Ada
UNIVERSITAS DIPONEGORO,13551044,ADMINISTRASI PUBLIK,Sarjana,50,781,Tidak Ada
UNIVERSITAS DIPONEGORO,13551045,ADMINISTRASI BISNIS,Sarjana,56,1342,Tidak Ada
UNIVERSITAS DIPONEGORO,13551046,ILMU PEMERINTAHAN,Sarjana,52,566,Tidak Ada
UNIVERSITAS DIPONEGORO,13551047,ILMU KOMUNIKASI,Sarjana,56,1329,Tidak Ada
UNIVERSITAS DIPONEGORO,13551048,PSIKOLOGI,Sarjana,80,1816,Tidak Ada
UNIVERSITAS DIPONEGORO,13551049,BAHASA DAN KEBUDAYAAN JEPANG,Sarjana,39,330,Tidak Ada
UNIVERSITAS DIPONEGORO,13551050,HUBUNGAN INTERNASIONAL,Sarjana,42,850,Tidak Ada
UNIVERSITAS DIPONEGORO,13551051,ANTROPOLOGI SOSIAL,Sarjana,40,409,Tidak Ada
UNIVERSITAS DIPONEGORO,13551052,EKONOMI ISLAM,Sarjana,40,324,Tidak Ada
UNIVERSITAS DIPONEGORO,13551053,ADMINISTRASI PUBLIK KAMPUS REMBANG,Sarjana,30,172,Tidak Ada
